JT,0.56151,0.40823,0.32654,0.27383,0.23624,0.20775,0.18698,0.16738
K4o,0.50185,0.3104,0.21766,0.16563,0.13159,0.10805,0.09169,0.07725
K7o,0.53358,0.34054,0.24363,0.18951,0.15188,0.12455,0.10377,0.08833
JJ,0.76926,0.60971,0.4889,0.40019,0.33319,0.28012,0.24135,0.21505
T8o,0.47849,0.3189,0.23801,0.19163,0.15514,0.13081,0.11199,0.09987
82o,0.33938,0.20168,0.13827,0.10179,0.08142,0.0662,0.05511,0.04872
22,0.49385,0.30208,0.21757,0.17531,0.15236,0.14161,0.13109,0.12509
92o,0.3637,0.21386,0.14746,0.11028,0.08632,0.0686,0.0584,0.04984
53o,0.33219,0.21969,0.16026,0.12381,0.10293,0.09073,0.07823,0.07051
95,0.43329,0.28492,0.21578,0.17386,0.1461,0.12661,0.11238,0.10113
A3,0.56619,0.37877,0.28678,0.23244,0.1967,0.17154,0.15257,0.1385
KJ,0.61352,0.4477,0.358,0.30134,0.25809,0.22891,0.20347,0.18324
A6o,0.55589,0.36188,0.25577,0.19543,0.15788,0.12976,0.10836,0.0924
Q4o,0.46833,0.2856,0.19825,0.15131,0.1201,0.09678,0.08099,0.06783
KQo,0.60561,0.43254,0.34398,0.2815,0.23981,0.20682,0.17965,0.15932
QJo,0.56953,0.40322,0.31367,0.25624,0.21728,0.18612,0.16367,0.14245
T7o,0.46121,0.29598,0.2203,0.16838,0.13849,0.11482,0.09483,0.08419
K5o,0.5129,0.31955,0.22527,0.17029,0.13646,0.11508,0.09432,0.08039
76o,0.39638,0.26923,0.20029,0.15675,0.12932,0.1107,0.09615,0.08586
AJo,0.62657,0.44267,0.3402,0.27544,0.23153,0.19817,0.17192,0.15149
J8,0.52254,0.35817,0.27622,0.22904,0.19135,0.16694,0.14806,0.13084
93o,0.37455,0.22494,0.15351,0.11446,0.08994,0.07202,0.06116,0.05189
J9,0.53882,0.37862,0.30027,0.24811,0.21232,0.18388,0.16451,0.14811
J4,0.46815,0.2993,0.22479,0.18032,0.15012,0.12931,0.11664,0.10507
J5,0.47731,0.3076,0.23193,0.18537,0.1543,0.1332,0.12024,0.10574
J6,0.48714,0.31877,0.23609,0.18973,0.15885,0.13793,0.12209,0.10777
J7,0.50618,0.33547,0.25508,0.20933,0.17572,0.15072,0.13334,0.12054
54o,0.35141,0.23755,0.17568,0.13898,0.11532,0.09989,0.08719,0.07752
53,0.36783,0.25728,0.20015,0.16693,0.14497,0.127,0.1172,0.10786
52,0.34954,0.24159,0.18407,0.15019,0.1319,0.11734,0.10456,0.09774
A7o,0.57285,0.37448,0.2706,0.20773,0.16844,0.13764,0.11532,0.09834
55,0.59764,0.39456,0.28576,0.22027,0.18305,0.15713,0.1414,0.12816
K6o,0.52242,0.32699,0.23455,0.1782,0.1438,0.11782,0.09598,0.08421
K7,0.55879,0.3766,0.28308,0.2299,0.19325,0.16543,0.14855,0.13211
Q2,0.47915,0.30437,0.22868,0.18624,0.15643,0.13834,0.12122,0.10925
Q5o,0.4807,0.29485,0.20502,0.15705,0.12496,0.10092,0.08406,0.0708
K6,0.54968,0.36644,0.27353,0.21896,0.18346,0.16152,0.14205,0.1261
K5,0.53817,0.35175,0.26423,0.21308,0.181,0.158,0.13778,0.12259
T2o,0.39087,0.22881,0.15861,0.11976,0.09517,0.07721,0.06537,0.05601
A4o,0.54482,0.34849,0.2517,0.19493,0.15724,0.13084,0.10969,0.09475
J7o,0.4773,0.30338,0.21793,0.16911,0.13633,0.1094,0.09415,0.07928
J5o,0.45203,0.27017,0.19243,0.14656,0.11304,0.09142,0.07585,0.06391
88,0.6869,0.49751,0.37306,0.29225,0.23901,0.20002,0.17378,0.15518
J2,0.45225,0.28271,0.21342,0.17482,0.14699,0.12654,0.11421,0.10162
82,0.3773,0.24217,0.17973,0.14533,0.12375,0.10757,0.09635,0.08622
J9o,0.51696,0.35056,0.26515,0.2117,0.17553,0.14582,0.12659,0.11081
J3,0.45877,0.29384,0.219,0.17662,0.14701,0.12894,0.11446,0.10433
86,0.43837,0.30419,0.23673,0.19622,0.16523,0.14199,0.12966,0.11712
87,0.45369,0.32344,0.25392,0.20798,0.17679,0.15618,0.14029,0.12858
84,0.4025,0.26643,0.20034,0.16342,0.13918,0.12079,0.10706,0.0972
85,0.41975,0.28289,0.21807,0.17477,0.15213,0.13115,0.11846,0.10711
43o,0.32047,0.21102,0.15168,0.11882,0.09929,0.08307,0.07233,0.06846
Q9o,0.53985,0.3612,0.27276,0.21582,0.17767,0.14782,0.12561,0.11049
64o,0.3508,0.23157,0.16864,0.13291,0.10777,0.09346,0.08063,0.07192
Q2o,0.4512,0.26879,0.18588,0.14187,0.11128,0.09149,0.07709,0.0669
84o,0.36789,0.2272,0.16233,0.1242,0.09693,0.07911,0.06623,0.05835
T4,0.44136,0.28336,0.21163,0.16919,0.14372,0.12509,0.11002,0.09767
T5,0.44994,0.29207,0.21458,0.1758,0.14697,0.12588,0.11077,0.09898
A5o,0.55624,0.36347,0.26161,0.20173,0.16135,0.13634,0.11557,0.09799
98o,0.46166,0.31195,0.23777,0.18932,0.15381,0.12913,0.11049,0.09827
J8o,0.4948,0.32465,0.24445,0.1889,0.15494,0.12796,0.10737,0.09528
AQ,0.65399,0.48261,0.38711,0.32615,0.28162,0.24889,0.22439,0.20302
T9o,0.49776,0.33805,0.26283,0.21067,0.17426,0.14841,0.12855,0.11398
42o,0.2983,0.19041,0.1366,0.10559,0.08731,0.07449,0.06517,0.05827
33,0.52785,0.33354,0.23707,0.18805,0.159,0.14459,0.13296,0.12475
32,0.33198,0.22718,0.17299,0.14089,0.12356,0.10972,0.10121,0.0914
52o,0.31208,0.2006,0.14062,0.10992,0.09149,0.07686,0.06772,0.06215
Q3o,0.45914,0.2764,0.19457,0.14457,0.11592,0.09445,0.07941,0.06928
75,0.40985,0.28287,0.22135,0.18084,0.15615,0.137,0.12375,0.1129
J2o,0.41862,0.24809,0.17032,0.12954,0.10275,0.08289,0.06897,0.05948
JTo,0.53934,0.3799,0.29476,0.23828,0.20173,0.17295,0.1486,0.1339
ATo,0.61536,0.42683,0.32401,0.262,0.21922,0.18387,0.15955,0.13838
83o,0.34574,0.20705,0.14292,0.1071,0.08448,0.06773,0.05558,0.04818
AT,0.63491,0.45608,0.36053,0.29745,0.25165,0.22399,0.19563,0.1769
Q8o,0.51828,0.33851,0.24662,0.19113,0.1552,0.12903,0.10931,0.0949
K3,0.52246,0.34091,0.25457,0.2032,0.17152,0.14866,0.13148,0.1194
K2,0.51299,0.33065,0.2461,0.19968,0.16994,0.14786,0.13144,0.1187
62,0.34873,0.23501,0.17651,0.14392,0.12394,0.10941,0.09784,0.09015
63,0.36711,0.25221,0.19181,0.15755,0.13532,0.11968,0.10818,0.10047
64,0.38511,0.27019,0.21076,0.17112,0.1489,0.13305,0.1197,0.10831
65,0.40094,0.28766,0.22287,0.18398,0.15844,0.13936,0.12606,0.11651
66,0.62684,0.42599,0.31408,0.24118,0.1965,0.17,0.14985,0.13865
K4,0.52779,0.34681,0.26118,0.20837,0.17531,0.1533,0.1369,0.12184
QTo,0.55891,0.38812,0.30112,0.24274,0.2039,0.17427,0.15099,0.13281
K9,0.58538,0.40719,0.31623,0.26176,0.21947,0.18919,0.16823,0.15305
K8,0.56692,0.38648,0.29345,0.23743,0.19994,0.17452,0.15467,0.13612
75o,0.37681,0.24831,0.18358,0.14193,0.11581,0.09996,0.08642,0.07596
63o,0.32989,0.21337,0.15269,0.11835,0.09515,0.08134,0.07038,0.06253
K9o,0.56383,0.37703,0.28178,0.22275,0.18089,0.15116,0.12845,0.11144
72o,0.31791,0.18983,0.13065,0.09707,0.07577,0.06233,0.05247,0.04597
Q6,0.51467,0.34069,0.25618,0.20417,0.17042,0.14893,0.12983,0.11718
AKo,0.64785,0.47335,0.37531,0.31198,0.26865,0.2343,0.20478,0.18197
86o,0.40795,0.26947,0.19942,0.15598,0.12567,0.10667,0.092,0.08089
T4o,0.41096,0.2478,0.17099,0.12635,0.10042,0.07974,0.067,0.058
96o,0.42112,0.26707,0.19637,0.1515,0.12265,0.10147,0.08571,0.07504
A2o,0.52982,0.33137,0.23489,0.18221,0.14516,0.12134,0.10474,0.09216
T3o,0.40169,0.23944,0.16296,0.12367,0.09618,0.08153,0.06514,0.05592
99,0.71794,0.53411,0.4067,0.32149,0.26249,0.22132,0.19012,0.16584
98,0.49092,0.34445,0.27251,0.22391,0.19087,0.16844,0.14738,0.13531
J6o,0.4554,0.27878,0.19698,0.15105,0.11836,0.09724,0.08054,0.068
93,0.40748,0.26279,0.19738,0.15748,0.13109,0.11439,0.10365,0.09215
92,0.39917,0.25613,0.19165,0.15363,0.12798,0.11206,0.10012,0.0906
62o,0.31381,0.19219,0.13428,0.10328,0.08159,0.06835,0.05958,0.05247
94,0.41334,0.26948,0.20031,0.16161,0.13358,0.11743,0.10426,0.09323
97,0.46932,0.32597,0.25254,0.20444,0.17593,0.15235,0.13703,0.12467
96,0.45383,0.30426,0.23308,0.19037,0.1603,0.14304,0.12658,0.11291
QQ,0.79669,0.64702,0.53142,0.44378,0.37635,0.32073,0.28106,0.245
KK,0.82022,0.68641,0.58235,0.49526,0.42718,0.37166,0.32681,0.29006
65o,0.36953,0.2528,0.18621,0.14607,0.12022,0.10288,0.09024,0.08139
KJo,0.59556,0.42025,0.3238,0.26295,0.22406,0.19131,0.16843,0.14506
73o,0.33734,0.20953,0.14788,0.10977,0.08984,0.07317,0.06369,0.05463
KQ,0.6265,0.46112,0.37121,0.3136,0.27732,0.24245,0.21477,0.19479
KT,0.60402,0.4357,0.34716,0.28412,0.24661,0.21365,0.19186,0.17259
97o,0.44363,0.29308,0.21823,0.1699,0.13973,0.11663,0.09947,0.08705
85o,0.38834,0.24522,0.18004,0.13668,0.1119,0.09171,0.07946,0.06994
A3o,0.53859,0.34207,0.24508,0.18654,0.15482,0.12784,0.10856,0.09387
Q3,0.4893,0.31548,0.23382,0.1871,0.16076,0.13681,0.12145,0.11063
J3o,0.43108,0.2567,0.17763,0.13339,0.10486,0.08589,0.07243,0.06009
Q5,0.50664,0.32704,0.24365,0.19749,0.16711,0.14232,0.12618,0.11418
Q4,0.4985,0.32131,0.23957,0.19063,0.16108,0.13979,0.12401,0.11014
Q7,0.52538,0.35004,0.26292,0.21246,0.17878,0.15237,0.13518,0.12041
54,0.38838,0.27671,0.21443,0.17579,0.15357,0.13872,0.12314,0.1149
Q9,0.55921,0.3941,0.30374,0.25122,0.21523,0.18578,0.16404,0.14799
Q8,0.54481,0.37045,0.28223,0.23119,0.19374,0.16978,0.15031,0.13339
K2o,0.48462,0.29207,0.20439,0.1563,0.12289,0.10377,0.08746,0.07673
83,0.38436,0.24755,0.18614,0.15066,0.12705,0.10923,0.09827,0.08943
AQo,0.63739,0.45557,0.35766,0.2935,0.24551,0.21398,0.18627,0.16539
A8o,0.58313,0.39085,0.28209,0.21912,0.17683,0.14474,0.12309,0.10542
Q6o,0.48831,0.30306,0.21554,0.1628,0.12996,0.10581,0.0885,0.07296
TT,0.74613,0.57273,0.44711,0.3585,0.29532,0.24831,0.21368,0.18427
42,0.34099,0.23227,0.17839,0.1466,0.12749,0.11379,0.1036,0.09519
43,0.35798,0.2504,0.19295,0.15792,0.13793,0.12453,0.1123,0.10444
94o,0.38367,0.22991,0.15941,0.11854,0.09154,0.07402,0.06322,0.05229
T6o,0.4372,0.27325,0.19595,0.15084,0.11908,0.09996,0.0835,0.06996
A2,0.55669,0.36876,0.2768,0.22213,0.19007,0.16645,0.14874,0.13576
A5,0.58026,0.39631,0.30092,0.24126,0.202,0.17829,0.15926,0.14343
A4,0.57328,0.38355,0.29319,0.23654,0.19917,0.17519,0.15558,0.13909
A7,0.59733,0.40585,0.30648,0.24764,0.20883,0.18085,0.15904,0.14281
A6,0.5814,0.39479,0.29413,0.24005,0.20022,0.17275,0.15473,0.13715
A9,0.61645,0.43385,0.3314,0.27205,0.22825,0.19954,0.17488,0.15721
A8,0.60447,0.42151,0.31967,0.25514,0.21912,0.18775,0.1654,0.14852
AA,0.84945,0.73426,0.6351,0.55648,0.48937,0.43181,0.38634,0.34198
A9o,0.59469,0.3985,0.29662,0.23244,0.18931,0.15693,0.13479,0.11468
T8,0.50569,0.3523,0.27487,0.22634,0.19232,0.16854,0.15097,0.13328
T9,0.52494,0.37564,0.29695,0.24808,0.21401,0.18453,0.16508,0.14817
T6,0.46411,0.30766,0.23596,0.19063,0.16202,0.13676,0.1227,0.10996
T7,0.48527,0.32923,0.2576,0.20766,0.1765,0.15367,0.1357,0.12099
AK,0.66156,0.49976,0.40483,0.34563,0.30484,0.26948,0.24205,0.21533
AJ,0.64502,0.4737,0.37233,0.30961,0.26661,0.23289,0.20846,0.18579
T2,0.42445,0.27151,0.20048,0.16199,0.13658,0.11887,0.10598,0.09515
T3,0.43577,0.27509,0.20731,0.16701,0.14144,0.12013,0.10711,0.09667
77,0.65693,0.46072,0.33788,0.26381,0.21721,0.18574,0.16064,0.14274
76,0.43088,0.30049,0.23856,0.19403,0.16887,0.14657,0.1323,0.1234
J4o,0.44021,0.26389,0.186,0.13948,0.10839,0.08837,0.07357,0.06247
74,0.39138,0.26727,0.20472,0.16745,0.14186,0.12566,0.11235,0.1036
73,0.37281,0.24943,0.18703,0.15624,0.13084,0.11483,0.10378,0.09285
72,0.3568,0.22888,0.17328,0.14061,0.11847,0.10612,0.09371,0.08407
K3o,0.49403,0.29998,0.21194,0.16064,0.12893,0.1056,0.08859,0.07685
74o,0.35601,0.22871,0.1674,0.12689,0.1033,0.08705,0.07351,0.06529
Q7o,0.50131,0.31168,0.22391,0.17004,0.13606,0.11236,0.09216,0.07868
QT,0.58047,0.41891,0.33259,0.27844,0.23866,0.21393,0.18615,0.16886
K8o,0.54261,0.35293,0.25419,0.19889,0.15935,0.13069,0.1132,0.09559
32o,0.29022,0.18363,0.12845,0.09885,0.08245,0.07096,0.06167,0.05515
87o,0.423,0.28584,0.21797,0.17191,0.14358,0.11895,0.1036,0.09036
KTo,0.58541,0.40828,0.3147,0.25312,0.20737,0.17929,0.1538,0.13502
95o,0.39995,0.24588,0.17811,0.13453,0.10565,0.08544,0.07313,0.06256
T5o,0.41513,0.25407,0.17813,0.13295,0.10405,0.08416,0.0707,0.0579
QJ,0.58763,0.42889,0.34316,0.28856,0.2498,0.22168,0.19785,0.1781
44,0.56334,0.36215,0.26017,0.20388,0.17082,0.14907,0.13576,0.12744